clip_id,rater_id,overall_mos,echo_annoyance_mos,nearend_naturalness_mos,acceptability_binary,confidence,headphone_passed,calibration_confirmed,submitted_at,system,item_uid,utt_id,scenario_bucket,task_type
hr_79b1d8a5e49b9a,returned_human_item_summary_v1,2.4,4.15,1.82,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,low_ser_overlap__8968c00fe8d7229e,fileid_18,low_ser_overlap,rating
hr_c05b614b9ab888,returned_human_item_summary_v1,3.95,3.76,3.81,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,Deep Echo public checkpoint transfer,echo_path_motion__604f54c33e98bfeb,doubletalk__f03ba73a__root__08ec6dc2-c8a8-423f-a5b1-73affaef4cfa_doubletalk-with-movement,echo_path_motion,rating
hr_c55bd906db9aee,returned_human_item_summary_v1,4.08,2.8,5.0,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,far_end_single_talk__5578c650afd460ea,farend-singletalk__eb6d9058__root__3e6lVI5h9UeSlRekiZb9gw_farend-singletalk,far_end_single_talk,rating
hr_5f0fa4d3a3784e,returned_human_item_summary_v1,3.54,3.9,2.74,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,Deep Echo public checkpoint transfer,noisy_double_talk__9e64a17e918989f5,fileid_234,noisy_double_talk,rating
hr_90154b37b3babf,returned_human_item_summary_v1,4.13,4.38,3.93,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,far_end_single_talk__c22008506fb03af3,farend-singletalk__eb6d9058__root__1uN6ZKjkE0ixLzBApJFouw_farend-singletalk,far_end_single_talk,rating
hr_48d128c2c5f872,returned_human_item_summary_v1,2.4,4.21,1.74,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,noisy_double_talk__3f7e61365b9510ba,fileid_16,noisy_double_talk,rating
hr_74f979e65171aa,returned_human_item_summary_v1,4.09,4.4,3.52,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS-H16k,low_ser_overlap__2ee61d92cda3842d,fileid_226,low_ser_overlap,rating
hr_f9c7ceb39e4db2,returned_human_item_summary_v1,4.53,4.99,4.04,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Echo,double_talk__63e2345becbf5a53,doubletalk__f03ba73a__root__31cfa60c-8aa2-441f-b7b6-e0db619ae909_doubletalk,double_talk,rating
hr_0f9cbf42cbe99a,returned_human_item_summary_v1,4.39,4.64,3.97,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Echo,double_talk__dc393d5053797dce,doubletalk__f03ba73a__root__KVbGTrqdIU0FIbN1ZuX68g_doubletalk,double_talk,rating
trap_34a2f58f507287,returned_human_item_summary_v1,1.0,1.0,1.0,0.0,2.0,1,1,2026-04-26T13:51:29+00:00,All-Zero-Control,echo_path_motion__12025881922cf0b2,doubletalk__f03ba73a__root__7688e22a-bf62-4e86-9d74-882e52599b5b_doubletalk-with-movement,echo_path_motion,degenerate_trap
hr_33973e706dc6d0,returned_human_item_summary_v1,3.23,3.3,2.61,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,low_ser_overlap__8968c00fe8d7229e,fileid_18,low_ser_overlap,rating
hr_ce711c1ca9ee69,returned_human_item_summary_v1,3.0,2.49,4.75,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,far_end_single_talk__2c2343b31ea5a261,farend-singletalk__eb6d9058__root__bd8328b8-ed2d-4aed-9daa-eeda6ed8309a_farend-singletalk,far_end_single_talk,rating
hr_009c04b1766750,returned_human_item_summary_v1,4.34,4.51,3.97,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,double_talk__7d3e5bc204150de8,doubletalk__f03ba73a__root__7f925492-c4a7-4ea6-9cb6-ae8aa666879e_doubletalk,double_talk,rating
hr_9253ce32499a8b,returned_human_item_summary_v1,3.49,2.82,3.65,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS public checkpoint transfer,noisy_double_talk__0b324e7d44377dd6,fileid_97,noisy_double_talk,rating
hr_9f58c5244fa91f,returned_human_item_summary_v1,3.79,4.12,3.53,1.0,3.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Echo,far_end_single_talk__c3f263829ad53168,farend-singletalk__eb6d9058__root__9TUrXnKCGEGzklkn3B4XjA_farend-singletalk,far_end_single_talk,rating
hr_26d7a9779d8160,returned_human_item_summary_v1,4.18,4.03,4.05,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS public checkpoint transfer,double_talk__ca88d7d0c20a699a,doubletalk__f03ba73a__root__b598b326-384b-42ce-99ca-6d3fe128c111_doubletalk,double_talk,rating
hr_91d8e465248179,returned_human_item_summary_v1,3.96,4.6,3.1,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS-H16k,noisy_double_talk__dc66caeb10f55dd9,fileid_70,noisy_double_talk,rating
hr_c9fc6ee2c1a369,returned_human_item_summary_v1,3.57,2.82,3.83,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS public checkpoint transfer,double_talk__fbf9c05a57bc9d86,doubletalk__f03ba73a__root__e5af1974-e440-4d99-87ed-a75ee6a05ca1_doubletalk,double_talk,rating
hr_284106b9629a70,returned_human_item_summary_v1,4.38,5.0,3.69,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Preserve,near_end_single_talk__9218f1e1fe829489,fileid_499,near_end_single_talk,rating
hr_75afb708125b4f,returned_human_item_summary_v1,2.4,1.25,5.0,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS public checkpoint transfer,far_end_single_talk__3eff4a07f182cd69,farend-singletalk__eb6d9058__root__gm1jGyCc00KI1b65ow1E6A_farend-singletalk,far_end_single_talk,rating
hr_4db0b6a95921d6,returned_human_item_summary_v1,3.0,4.39,2.09,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,double_talk__12b7b6c3f2118e02,doubletalk__f03ba73a__root__v000iTBmeEWxqSnlgG0dYg_doubletalk,double_talk,rating
hr_4bd67bec8f2959,returned_human_item_summary_v1,2.4,4.65,1.52,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS-H16k,double_talk__12b7b6c3f2118e02,doubletalk__f03ba73a__root__v000iTBmeEWxqSnlgG0dYg_doubletalk,double_talk,rating
hr_194eabd86d6652,returned_human_item_summary_v1,4.18,4.07,4.02,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,Deep Echo public checkpoint transfer,double_talk__ca88d7d0c20a699a,doubletalk__f03ba73a__root__b598b326-384b-42ce-99ca-6d3fe128c111_doubletalk,double_talk,rating
hr_55d7548ae54c10,returned_human_item_summary_v1,2.4,1.82,4.7,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,SC-AEC-Echo,far_end_single_talk__013d26421eefe63c,farend-singletalk__eb6d9058__root__f16e9c6e-e821-464d-b006-406d45bb9ada_farend-singletalk,far_end_single_talk,rating
hr_8416f3b749ddfd,returned_human_item_summary_v1,4.36,5.0,3.62,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS-H16k,near_end_single_talk__52ebf4e1da0c13dd,fileid_57,near_end_single_talk,rating
hr_02ea2f51a776eb,returned_human_item_summary_v1,2.4,3.39,1.82,0.0,4.0,1,1,2026-04-26T13:51:29+00:00,NLMS,noisy_double_talk__4ce4f233a03871a4,fileid_128,noisy_double_talk,rating
hr_8ed1db2a5be11c,returned_human_item_summary_v1,4.53,3.88,5.0,1.0,4.0,1,1,2026-04-26T13:51:29+00:00,ASTWS-H16k,far_end_single_talk__351ae176aef5a986,farend-singletalk__eb6d9058__root__UAHwsB4iRUmm990YSJJOtg_farend-singletalk,far_end_single_talk,rating
