system,scenario_bucket,n_items,n_base_items,mean_overall_mos,overall_mos_ci_low,overall_mos_ci_high,mean_echo_annoyance_mos,echo_annoyance_mos_ci_low,echo_annoyance_mos_ci_high,mean_nearend_naturalness_mos,nearend_naturalness_mos_ci_low,nearend_naturalness_mos_ci_high,mean_acceptability_binary,acceptability_binary_ci_low,acceptability_binary_ci_high,mean_confidence,confidence_ci_low,confidence_ci_high
SC-AEC-Echo,echo_path_motion,12,12,3.1083333333333334,2.663333333333333,3.560249999999999,3.8816666666666664,3.2448750000000004,4.394187499999999,3.004166666666667,2.269125,3.7108333333333334,0.4166666666666667,0.16666666666666666,0.6666666666666666,3.8333333333333335,3.5833333333333335,4.0
SC-AEC-Echo,far_end_single_talk,12,12,3.4033333333333333,3.0190208333333333,3.7366875,3.194166666666667,2.5724375,3.795020833333333,4.085,3.6723958333333333,4.473333333333333,0.6666666666666666,0.4166666666666667,0.9166666666666666,3.5833333333333335,3.3333333333333335,3.8333333333333335
SC-AEC-Echo,low_ser_overlap,12,12,2.53,2.4,2.79,4.286666666666667,4.197479166666667,4.366666666666667,1.64,1.3566458333333333,1.9958333333333333,0.08333333333333333,0.0,0.25,4.0,4.0,4.0
SC-AEC-Echo,near_end_single_talk,12,12,4.41,4.350812499999999,4.465,4.998333333333333,4.995833333333334,5.0,3.734166666666667,3.6074791666666663,3.848333333333333,1.0,1.0,1.0,4.0,4.0,4.0
SC-AEC-Echo,noisy_double_talk,12,12,2.9741666666666666,2.6156875,3.4151458333333324,4.315833333333333,4.183333333333334,4.439166666666667,2.0375,1.5174583333333336,2.571708333333333,0.3333333333333333,0.08333333333333333,0.5833333333333334,4.0,4.0,4.0
SC-AEC-Preserve,double_talk,12,12,3.535833333333333,3.0975,3.948375,4.2425,3.9233333333333333,4.508333333333334,2.861666666666667,2.2158125,3.485,0.5833333333333334,0.3333333333333333,0.8333333333333334,4.0,4.0,4.0
SC-AEC-Preserve,echo_path_motion,12,12,3.5324999999999998,3.0649583333333332,3.9750208333333337,3.8733333333333335,3.348291666666667,4.275,3.4066666666666667,2.7057708333333332,4.083333333333333,0.6666666666666666,0.4166666666666667,0.9166666666666666,4.0,4.0,4.0
SC-AEC-Preserve,far_end_single_talk,12,12,3.4908333333333332,3.0732916666666665,3.885,3.2275,2.6025,3.8534999999999995,4.215833333333333,3.8799791666666663,4.5166875,0.6666666666666666,0.4166666666666667,0.9166666666666666,3.75,3.5,4.0
SC-AEC-Preserve,low_ser_overlap,12,12,2.7775,2.5,3.100833333333333,4.159166666666667,4.0625,4.2591875,1.9675,1.6357916666666668,2.3475208333333333,0.16666666666666666,0.0,0.4166666666666667,4.0,4.0,4.0
SC-AEC-Preserve,near_end_single_talk,12,12,4.4025,4.333333333333334,4.474166666666667,5.0,5.0,5.0,3.7075,3.5616666666666665,3.8491874999999998,1.0,1.0,1.0,4.0,4.0,4.0
SC-AEC-Preserve,noisy_double_talk,12,12,3.03,2.6340625,3.4792083333333332,4.275833333333334,4.170833333333333,4.3758333333333335,2.171666666666667,1.645625,2.7266874999999997,0.3333333333333333,0.08333333333333333,0.5833333333333334,4.0,4.0,4.0
